"n","sec"
10,0.00200000000006639
50,0
100,0
500,0.0339999999999918
1000,0.303999999999974
2000,2.60800000000006
3000,9.80799999999999
5000,47.3259999999998
1500,1.01699999999983
2000,2.45100000000002
2500,5.04899999999998
3000,8.96199999999999
3500,14.5610000000001
4000,26.8020000000001
4500,32.3160000000003
100,0.00599999999985812
200,0.00199999999995271
300,0.00700000000006185
400,0.0170000000002801
500,0.0350000000003092
500,0.0659999999998035
600,0.110000000000127
700,0.139000000000124
800,0.221000000000004
900,0.356000000000222
1000,0.438999999999851
